fitzpatrick_type,n,accuracy,sensitivity,specificity,urgency_agreement,cohen_kappa,brier_score
1,2947,0.9182219205972175,0.9184350489605386,0.9992888862660628,0.8951476077366813,0.9170948051749458,0.07856768720443869
2,4808,0.9203410981697171,0.912461892223582,0.9993073138971279,0.8993344425956739,0.9191895255290172,0.07748787115611226
3,3308,0.8793833131801693,0.8721678015806904,0.998951159245045,0.9053808948004837,0.8777831380635747,0.11424150612906814
4,2781,0.8752247393024092,0.8615117021119222,0.9989054801693193,0.8996763754045307,0.8734224983384364,0.11869101160375825
5,1533,0.7971298108284409,0.7962752129791774,0.9982046885914021,0.9106327462491846,0.793525339066106,0.17529246385093852
6,635,0.7952755905511811,0.8138564270604624,0.9977252843394576,0.8976377952755905,0.7914608853375908,0.1807796556628283
